,title,release_year,runtime,genre,rating,metascore,gross(M)
463,Tae Guk Gi: The Brotherhood of War,2004,140,Drama,8.0,64,1.11
463,Tae Guk Gi: The Brotherhood of War,2004,140,War,8.0,64,1.11
464,"Rome, Open City",1945,103,Drama,8.0,0,0.0
464,"Rome, Open City",1945,103,Thriller,8.0,0,0.0
464,"Rome, Open City",1945,103,War,8.0,0,0.0
465,G.O.R.A.,2004,127,Adventure,8.0,0,0.0
465,G.O.R.A.,2004,127,Comedy,8.0,0,0.0
465,G.O.R.A.,2004,127,Sci-Fi,8.0,0,0.0
466,Winter Light,1963,81,Drama,8.0,0,0.0
467,Andaz Apna Apna,1994,160,Action,8.0,0,0.0
467,Andaz Apna Apna,1994,160,Comedy,8.0,0,0.0
467,Andaz Apna Apna,1994,160,Romance,8.0,0,0.0
468,"Carry On, Munna Bhai",2006,144,Comedy,8.0,0,2.22
468,"Carry On, Munna Bhai",2006,144,Drama,8.0,0,2.22
468,"Carry On, Munna Bhai",2006,144,Romance,8.0,0,2.22
469,Special 26,2013,144,Crime,8.0,0,1.08
469,Special 26,2013,144,Drama,8.0,0,1.08
469,Special 26,2013,144,Thriller,8.0,0,1.08
470,The Breath,2009,128,Action,8.0,0,0.0
470,The Breath,2009,128,Drama,8.0,0,0.0
470,The Breath,2009,128,Thriller,8.0,0,0.0
471,Vizontele,2001,110,Comedy,8.0,0,0.0
471,Vizontele,2001,110,Drama,8.0,0,0.0
472,John Wick: Chapter 4,2023,169,Action,7.9,78,0.0
472,John Wick: Chapter 4,2023,169,Crime,7.9,78,0.0
472,John Wick: Chapter 4,2023,169,Thriller,7.9,78,0.0
473,Titanic,1997,194,Drama,7.9,75,659.33
473,Titanic,1997,194,Romance,7.9,75,659.33
474,Avatar,2009,162,Action,7.9,83,760.51
474,Avatar,2009,162,Adventure,7.9,83,760.51
474,Avatar,2009,162,Fantasy,7.9,83,760.51
475,Puss in Boots: The Last Wish,2022,102,Animation,7.9,73,168.46
475,Puss in Boots: The Last Wish,2022,102,Adventure,7.9,73,168.46
475,Puss in Boots: The Last Wish,2022,102,Comedy,7.9,73,168.46
476,Arrival,2016,116,Drama,7.9,81,100.55
476,Arrival,2016,116,Mystery,7.9,81,100.55
476,Arrival,2016,116,Sci-Fi,7.9,81,100.55
477,Fantastic Mr. Fox,2009,87,Animation,7.9,83,21.0
477,Fantastic Mr. Fox,2009,87,Adventure,7.9,83,21.0
477,Fantastic Mr. Fox,2009,87,Comedy,7.9,83,21.0
478,Iron Man,2008,126,Action,7.9,79,318.41
478,Iron Man,2008,126,Adventure,7.9,79,318.41
478,Iron Man,2008,126,Sci-Fi,7.9,79,318.41
479,Knives Out,2019,130,Comedy,7.9,82,165.36
479,Knives Out,2019,130,Crime,7.9,82,165.36
479,Knives Out,2019,130,Drama,7.9,82,165.36
480,Edge of Tomorrow,2014,113,Action,7.9,71,100.21
480,Edge of Tomorrow,2014,113,Adventure,7.9,71,100.21
480,Edge of Tomorrow,2014,113,Sci-Fi,7.9,71,100.21
481,The Perks of Being a Wallflower,2012,103,Drama,7.9,67,17.74
482,Mulholland Drive,2001,147,Drama,7.9,86,7.22
482,Mulholland Drive,2001,147,Mystery,7.9,86,7.22
482,Mulholland Drive,2001,147,Thriller,7.9,86,7.22
483,True Romance,1993,119,Crime,7.9,59,12.28
483,True Romance,1993,119,Drama,7.9,59,12.28
483,True Romance,1993,119,Romance,7.9,59,12.28
484,X-Men: Days of Future Past,2014,132,Action,7.9,75,233.92
484,X-Men: Days of Future Past,2014,132,Adventure,7.9,75,233.92
484,X-Men: Days of Future Past,2014,132,Sci-Fi,7.9,75,233.92
485,Harry Potter and the Prisoner of Azkaban,2004,142,Adventure,7.9,82,249.36
485,Harry Potter and the Prisoner of Azkaban,2004,142,Family,7.9,82,249.36
485,Harry Potter and the Prisoner of Azkaban,2004,142,Fantasy,7.9,82,249.36
486,Star Trek,2009,127,Action,7.9,82,257.73
486,Star Trek,2009,127,Adventure,7.9,82,257.73
486,Star Trek,2009,127,Sci-Fi,7.9,82,257.73
487,Boogie Nights,1997,155,Drama,7.9,85,26.4
488,Almost Famous,2000,122,Adventure,7.9,90,32.53
488,Almost Famous,2000,122,Comedy,7.9,90,32.53
488,Almost Famous,2000,122,Drama,7.9,90,32.53
489,Thor: Ragnarok,2017,130,Action,7.9,74,315.06
489,Thor: Ragnarok,2017,130,Adventure,7.9,74,315.06
489,Thor: Ragnarok,2017,130,Comedy,7.9,74,315.06
490,Bohemian Rhapsody,2018,134,Biography,7.9,49,216.43
490,Bohemian Rhapsody,2018,134,Drama,7.9,49,216.43
490,Bohemian Rhapsody,2018,134,Music,7.9,49,216.43
491,E.T. the Extra-Terrestrial,1982,115,Adventure,7.9,92,435.11
491,E.T. the Extra-Terrestrial,1982,115,Family,7.9,92,435.11
491,E.T. the Extra-Terrestrial,1982,115,Sci-Fi,7.9,92,435.11
492,Shaun of the Dead,2004,99,Comedy,7.9,76,13.54
492,Shaun of the Dead,2004,99,Horror,7.9,76,13.54
493,Jojo Rabbit,2019,108,Comedy,7.9,58,33.37
493,Jojo Rabbit,2019,108,Drama,7.9,58,33.37
493,Jojo Rabbit,2019,108,War,7.9,58,33.37
494,Shrek,2001,90,Animation,7.9,84,267.67
494,Shrek,2001,90,Adventure,7.9,84,267.67
494,Shrek,2001,90,Comedy,7.9,84,267.67
495,In Bruges,2008,107,Comedy,7.9,67,7.76
495,In Bruges,2008,107,Crime,7.9,67,7.76
495,In Bruges,2008,107,Drama,7.9,67,7.76
496,Children of Men,2006,109,Action,7.9,84,35.55
496,Children of Men,2006,109,Drama,7.9,84,35.55
496,Children of Men,2006,109,Sci-Fi,7.9,84,35.55
497,The Blues Brothers,1980,133,Action,7.9,60,57.23
497,The Blues Brothers,1980,133,Adventure,7.9,60,57.23
497,The Blues Brothers,1980,133,Comedy,7.9,60,57.23
498,Dallas Buyers Club,2013,117,Biography,7.9,77,27.3
498,Dallas Buyers Club,2013,117,Drama,7.9,77,27.3
499,Mystic River,2003,138,Crime,7.9,84,90.14
499,Mystic River,2003,138,Drama,7.9,84,90.14
499,Mystic River,2003,138,Mystery,7.9,84,90.14
500,The Bourne Identity,2002,119,Action,7.9,68,121.66
500,The Bourne Identity,2002,119,Mystery,7.9,68,121.66
500,The Bourne Identity,2002,119,Thriller,7.9,68,121.66
501,Edward Scissorhands,1990,105,Drama,7.9,74,56.36
501,Edward Scissorhands,1990,105,Fantasy,7.9,74,56.36
501,Edward Scissorhands,1990,105,Romance,7.9,74,56.36
502,District 9,2009,112,Action,7.9,81,115.65
502,District 9,2009,112,Sci-Fi,7.9,81,115.65
502,District 9,2009,112,Thriller,7.9,81,115.65
503,Life of Pi,2012,127,Adventure,7.9,79,124.99
503,Life of Pi,2012,127,Drama,7.9,79,124.99
503,Life of Pi,2012,127,Fantasy,7.9,79,124.99
504,Wonder,2017,113,Drama,7.9,66,132.42
504,Wonder,2017,113,Family,7.9,66,132.42
505,Marriage Story,2019,137,Drama,7.9,94,2.0
505,Marriage Story,2019,137,Romance,7.9,94,2.0
506,All the President's Men,1976,138,Drama,7.9,84,70.6
506,All the President's Men,1976,138,History,7.9,84,70.6
506,All the President's Men,1976,138,Thriller,7.9,84,70.6
507,Toy Story 2,1999,92,Animation,7.9,88,245.85
507,Toy Story 2,1999,92,Adventure,7.9,88,245.85
507,Toy Story 2,1999,92,Comedy,7.9,88,245.85
508,Sullivan's Travels,1941,90,Adventure,7.9,0,0.0
508,Sullivan's Travels,1941,90,Comedy,7.9,0,0.0
508,Sullivan's Travels,1941,90,Drama,7.9,0,0.0
509,Boyhood,2014,165,Drama,7.9,100,25.38
510,The Nightmare Before Christmas,1993,76,Animation,7.9,82,75.08
510,The Nightmare Before Christmas,1993,76,Family,7.9,82,75.08
510,The Nightmare Before Christmas,1993,76,Fantasy,7.9,82,75.08
511,Bound by Honor,1993,180,Crime,7.9,47,4.5
511,Bound by Honor,1993,180,Drama,7.9,47,4.5
512,This Is Spinal Tap,1984,82,Comedy,7.9,92,4.74
512,This Is Spinal Tap,1984,82,Music,7.9,92,4.74
513,Spartacus,1960,197,Adventure,7.9,87,30.0
513,Spartacus,1960,197,Biography,7.9,87,30.0
513,Spartacus,1960,197,Drama,7.9,87,30.0
514,The Searchers,1956,119,Adventure,7.9,94,0.0
514,The Searchers,1956,119,Drama,7.9,94,0.0
514,The Searchers,1956,119,Western,7.9,94,0.0
515,Brazil,1985,132,Drama,7.9,84,9.93
515,Brazil,1985,132,Sci-Fi,7.9,84,9.93
516,The Man from Earth,2007,87,Drama,7.9,0,0.0
516,The Man from Earth,2007,87,Fantasy,7.9,0,0.0
516,The Man from Earth,2007,87,Mystery,7.9,0,0.0
517,Before Midnight,2013,109,Drama,7.9,94,8.11
517,Before Midnight,2013,109,Romance,7.9,94,8.11
518,The Ten Commandments,1956,220,Adventure,7.9,0,93.74
518,The Ten Commandments,1956,220,Drama,7.9,0,93.74
518,The Ten Commandments,1956,220,Family,7.9,0,93.74
519,Carlito's Way,1993,144,Crime,7.9,66,36.95
519,Carlito's Way,1993,144,Drama,7.9,66,36.95
519,Carlito's Way,1993,144,Thriller,7.9,66,36.95
520,A Fistful of Dollars,1964,99,Action,7.9,65,14.5
520,A Fistful of Dollars,1964,99,Drama,7.9,65,14.5
520,A Fistful of Dollars,1964,99,Western,7.9,65,14.5
521,Ghost in the Shell,1995,83,Animation,7.9,76,0.52
521,Ghost in the Shell,1995,83,Action,7.9,76,0.52
521,Ghost in the Shell,1995,83,Crime,7.9,76,0.52
522,"Crouching Tiger, Hidden Dragon",2000,120,Action,7.9,94,128.08
522,"Crouching Tiger, Hidden Dragon",2000,120,Adventure,7.9,94,128.08
522,"Crouching Tiger, Hidden Dragon",2000,120,Drama,7.9,94,128.08
523,Nosferatu,1922,94,Fantasy,7.9,0,0.0
523,Nosferatu,1922,94,Horror,7.9,0,0.0
524,In the Heat of the Night,1967,110,Drama,7.9,76,24.38
524,In the Heat of the Night,1967,110,Mystery,7.9,76,24.38
524,In the Heat of the Night,1967,110,Thriller,7.9,76,24.38
525,Let the Right One In,2008,114,Drama,7.9,82,2.12
525,Let the Right One In,2008,114,Fantasy,7.9,82,2.12
525,Let the Right One In,2008,114,Horror,7.9,82,2.12
526,The Lion in Winter,1968,134,Biography,7.9,0,22.28
526,The Lion in Winter,1968,134,Drama,7.9,0,22.28
526,The Lion in Winter,1968,134,History,7.9,0,22.28
527,The Wrestler,2008,109,Drama,7.9,80,26.24
527,The Wrestler,2008,109,Sport,7.9,80,26.24
527,The Wrestler,2008,109,Thriller,7.9,80,26.24
528,The Wild Bunch,1969,135,Action,7.9,98,12.06
528,The Wild Bunch,1969,135,Adventure,7.9,98,12.06
528,The Wild Bunch,1969,135,Drama,7.9,98,12.06
529,The Raid 2,2014,150,Action,7.9,71,2.63
529,The Raid 2,2014,150,Crime,7.9,71,2.63
529,The Raid 2,2014,150,Thriller,7.9,71,2.63
530,A Streetcar Named Desire,1951,122,Drama,7.9,97,8.0
531,Once Were Warriors,1994,102,Crime,7.9,77,2.2
531,Once Were Warriors,1994,102,Drama,7.9,77,2.2
532,Doctor Zhivago,1965,197,Drama,7.9,69,111.72
532,Doctor Zhivago,1965,197,Romance,7.9,69,111.72
532,Doctor Zhivago,1965,197,War,7.9,69,111.72
533,Notorious,1946,102,Drama,7.9,100,10.46
533,Notorious,1946,102,Film-Noir,7.9,100,10.46
533,Notorious,1946,102,Romance,7.9,100,10.46
534,About Elly,2009,119,Drama,7.9,87,0.11
534,About Elly,2009,119,Mystery,7.9,87,0.11
535,Charade,1963,113,Comedy,7.9,83,13.47
535,Charade,1963,113,Mystery,7.9,83,13.47
535,Charade,1963,113,Romance,7.9,83,13.47
536,The Manchurian Candidate,1962,126,Drama,7.9,94,0.0
536,The Manchurian Candidate,1962,126,Thriller,7.9,94,0.0
537,The Artist,2011,100,Comedy,7.9,89,44.67
537,The Artist,2011,100,Drama,7.9,89,44.67
537,The Artist,2011,100,Romance,7.9,89,44.67
538,Hero,2002,120,Action,7.9,85,53.71
538,Hero,2002,120,Adventure,7.9,85,53.71
538,Hero,2002,120,Drama,7.9,85,53.71
539,Sing Street,2016,106,Comedy,7.9,79,3.24
539,Sing Street,2016,106,Drama,7.9,79,3.24
539,Sing Street,2016,106,Music,7.9,79,3.24
540,Harold and Maude,1971,91,Comedy,7.9,62,0.0
540,Harold and Maude,1971,91,Drama,7.9,62,0.0
540,Harold and Maude,1971,91,Romance,7.9,62,0.0
541,Shoplifters,2018,121,Crime,7.9,93,3.31
541,Shoplifters,2018,121,Drama,7.9,93,3.31
541,Shoplifters,2018,121,Thriller,7.9,93,3.31
542,Dancer in the Dark,2000,140,Crime,7.9,63,4.18
542,Dancer in the Dark,2000,140,Drama,7.9,63,4.18
542,Dancer in the Dark,2000,140,Musical,7.9,63,4.18
543,Togo,2019,113,Adventure,7.9,69,0.0
543,Togo,2019,113,Biography,7.9,69,0.0
543,Togo,2019,113,Drama,7.9,69,0.0
544,Rope,1948,80,Crime,7.9,73,0.0
544,Rope,1948,80,Drama,7.9,73,0.0
544,Rope,1948,80,Mystery,7.9,73,0.0
545,A Christmas Story,1983,93,Comedy,7.9,77,20.61
545,A Christmas Story,1983,93,Family,7.9,77,20.61
546,King Kong,1933,100,Adventure,7.9,92,10.0
546,King Kong,1933,100,Horror,7.9,92,10.0
546,King Kong,1933,100,Sci-Fi,7.9,92,10.0
547,The Killing,1956,84,Crime,7.9,91,0.0
547,The Killing,1956,84,Drama,7.9,91,0.0
547,The Killing,1956,84,Film-Noir,7.9,91,0.0
548,Strangers on a Train,1951,101,Crime,7.9,88,7.63
548,Strangers on a Train,1951,101,Drama,7.9,88,7.63
548,Strangers on a Train,1951,101,Film-Noir,7.9,88,7.63
549,The Big Sleep,1946,114,Crime,7.9,86,6.54
549,The Big Sleep,1946,114,Film-Noir,7.9,86,6.54
549,The Big Sleep,1946,114,Mystery,7.9,86,6.54
550,Patton,1970,172,Biography,7.9,86,61.7
550,Patton,1970,172,Drama,7.9,86,61.7
550,Patton,1970,172,War,7.9,86,61.7
551,Short Term 12,2013,96,Drama,7.9,82,1.01
552,The Philadelphia Story,1940,112,Comedy,7.9,96,0.0
552,The Philadelphia Story,1940,112,Romance,7.9,96,0.0
553,In a Lonely Place,1950,94,Drama,7.9,0,0.0
553,In a Lonely Place,1950,94,Film-Noir,7.9,0,0.0
553,In a Lonely Place,1950,94,Mystery,7.9,0,0.0
554,Three Colors: Blue,1993,94,Drama,7.9,87,1.32
554,Three Colors: Blue,1993,94,Music,7.9,87,1.32
554,Three Colors: Blue,1993,94,Mystery,7.9,87,1.32
555,Cat on a Hot Tin Roof,1958,108,Drama,7.9,84,17.57
556,The Adventures of Robin Hood,1938,102,Action,7.9,97,3.98
556,The Adventures of Robin Hood,1938,102,Adventure,7.9,97,3.98
556,The Adventures of Robin Hood,1938,102,Romance,7.9,97,3.98
557,Arsenic and Old Lace,1944,118,Comedy,7.9,0,0.0
557,Arsenic and Old Lace,1944,118,Crime,7.9,0,0.0
557,Arsenic and Old Lace,1944,118,Thriller,7.9,0,0.0
558,Talk to Her,2002,112,Drama,7.9,86,9.36
558,Talk to Her,2002,112,Mystery,7.9,86,9.36
